level,avg_price
5,5555457
15,8162063
17,9018332
23,11003405
38,32886962
39,26743865
41,30052656
45,44233978
50,82634166
0,5115718
13,7988809
20,11396327
22,10767084
24,10484654
43,29282813
49,64291736
2,5360483
14,7873024
25,13095142
31,24587119
44,50362399
46,66638024
3,5835994
4,5743215
6,7888539
16,7963149
26,19823750
27,23448791
9,6337636
35,31958096
36,35133074
37,29962416
47,49873929
8,7057259
19,9913615
21,12714265
28,23827134
7,7460037
18,9713615
32,22045790
40,30351282
10,7302133
11,8411039
30,24899997
1,4464107
33,22751955
42,26981651
29,20125233
34,40975385
48,32384986
12,7959117
