area,avg_price
2.800,9550000
7.300,1676666
8.060,240000
8.700,1880666
9.200,2282826
9.500,1728080
9.600,1012857
10.200,2623902
10.600,2671154
11.260,2505000
11.650,2765000
12.740,7007000
12.770,7151200
12.800,1400346
13.020,2572100
13.210,2650000
13.700,1691041
14.100,2046426
14.600,2226785
14.620,2700000
14.700,1955858
14.760,3500000
14.840,6678000
14.990,3049000
15.220,2332500
15.500,2293702
15.670,4590000
15.740,5185000
15.800,2257812
16.270,3720000
16.580,4126600
17.120,1670000
17.130,4092400
17.210,3580000
17.300,1822892
17.700,2144650
17.790,3235000
17.890,1567652
17.970,2244702
18.010,1772500
18.060,2776700
18.080,2181633
18.120,2466558
18.200,2257980
18.330,1516197
18.420,2995680
18.460,3274733
18.510,1695933
18.770,5724488
18.880,1627837
19.580,2352976
19.670,3301731
19.930,2618924
20.320,2518884
20.430,3907492
20.520,1632348
20.780,2131821
20.980,4541240
21.300,3048855
21.560,3231450
21.580,3185285
22.130,2388201
22.760,3212959
22.890,4041633
22.900,2957509
22.970,4047354
23.170,3098232
23.290,3759223
23.580,4176067
23.760,2663500
23.770,2689561
23.930,3951769
24.110,3197710
24.290,4568490
24.330,4979231
24.560,6078057
24.850,4062239
24.880,3019578
24.930,3915489
24.970,3222107
25.300,3413417
25.350,3487491
25.570,4415459
25.700,3685182
26.210,3366376
26.370,4008173
26.470,3313873
26.570,3838910
26.680,4245526
26.890,4167143
27.010,5163933
27.490,3567776
27.820,2323869
27.860,3666659
27.920,3252314
28.160,3282309
28.200,3340196
28.230,4636286
29.260,2891799
29.410,3699009
29.580,2763452
29.740,6546159
29.760,3730665
29.960,2620075
30.020,4633605
30.310,4192666
30.740,3973996
30.790,3896663
30.850,3054337
30.910,3907135
31.090,4415203
31.440,3727286
31.490,4336964
31.770,3495970
31.920,3810295
31.950,4503734
32.400,3471471
32.520,4615384
33.110,6650154
33.340,4228684
33.470,4534541
33.530,4550061
33.700,3481392
33.850,3002789
33.880,4354297
33.970,30670216
34.199,2770199
34.240,4338984
34.530,4738571
34.710,4285829
34.750,5943300
34.790,4105930
34.830,4649856
34.930,3322064
35.100,3904425
35.130,4071760
35.140,5435507
35.330,5344330
35.375,4103552
35.380,3892554
35.450,4909279
35.620,4108748
35.930,4683972
35.990,4136648
36.200,4603303
36.310,3510535
36.340,4199309
36.410,3869114
36.760,4047399
36.770,4015239
36.910,3915288
37.050,5520558
37.320,4117262
37.450,4345132
37.820,4452370
37.950,4877550
37.980,7479117
38.020,4871639
38.390,5763795
38.710,7455462
38.990,3929554
39.160,6843643
39.370,4302817
39.410,5500380
39.540,5846449
39.590,2992320
39.880,3887026
39.970,4662052
40.250,4139625
40.450,4323772
40.540,4583913
40.690,5210019
40.730,4108870
40.890,2970993
41.200,4816117
41.670,5018483
41.830,5661199
41.910,3811362
42.080,5100398
42.140,6457974
42.770,4102079
42.790,4554900
42.890,7427405
42.980,5540950
43.260,4825366
43.420,6143217
43.720,3767071
43.830,4995788
44.110,4659144
44.780,4064453
44.810,5146749
45.090,3679131
45.140,4190274
45.890,6287980
46.080,4858506
46.450,4071950
46.460,3866619
46.690,4705387
47.020,5355162
47.590,5874279
47.620,4198145
47.780,8839497
47.860,7958900
48.070,8615683
48.300,4570848
48.320,4421835
48.500,4859305
48.530,5628126
48.540,6703843
48.990,7645433
49.130,8894915
49.140,4849925
49.290,6370538
49.500,5028661
49.530,9097508
49.830,5169878
49.880,5375757
49.890,8141089
50.020,6659290
50.170,6346240
50.180,7344325
50.230,5518664
50.290,5201365
50.430,6516915
50.570,43487908
50.600,6360313
50.610,4691301
50.620,4338661
50.880,4885716
50.930,6330085
50.970,4970246
51.180,5961284
51.190,5509312
51.400,5146114
51.460,5397411
51.470,6081718
51.540,4648622
52.440,5106442
52.600,5113804
52.790,4247404
52.940,5674584
52.970,5312708
53.240,4565622
53.280,5635731
53.420,13927827
53.450,10822712
53.570,4900848
53.620,5445965
53.930,7859549
54.140,4464431
54.270,5527559
54.550,8974446
54.660,4949473
54.738,5375000
54.740,5503421
55.110,6299974
55.410,6459564
55.490,6013799
55.700,5735608
55.770,6505332
55.880,8031733
56.010,6780249
56.340,6483441
56.700,6831093
56.800,6188345
56.900,5784822
56.910,5321383
57.170,5608035
57.350,5612238
57.360,5829369
57.800,6007478
57.840,5126841
58.100,5994799
58.250,5759550
58.610,4823144
58.640,5147670
58.710,5177096
58.800,7186292
59.180,6311229
59.190,5871140
59.340,6035482
59.450,5528797
59.600,5605681
59.760,8598522
60.080,5776491
60.190,5854542
60.390,6807390
60.870,6050319
61.750,7821785
